Date;Time;Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3
19/11/2010;13:42:00;1.536;0.142;241.470;6.400;0.000;0.000;18.000
19/11/2010;13:43:00;1.476;0.162;241.450;6.000;0.000;0.000;18.000
19/11/2010;13:44:00;1.408;0.062;241.440;5.800;0.000;0.000;18.000
19/11/2010;13:45:00;1.390;0.054;240.170;5.800;0.000;0.000;18.000
19/11/2010;13:46:00;1.380;0.050;239.120;5.600;0.000;0.000;17.000
19/11/2010;13:47:00;1.360;0.054;238.520;5.600;0.000;0.000;18.000
19/11/2010;13:48:00;1.368;0.058;238.990;5.600;0.000;0.000;17.000
19/11/2010;13:49:00;1.362;0.056;238.590;5.600;0.000;0.000;18.000
19/11/2010;13:50:00;1.304;0.000;237.740;5.400;0.000;0.000;17.000
19/11/2010;13:51:00;1.368;0.074;238.210;5.800;0.000;0.000;17.000
19/11/2010;13:52:00;1.398;0.076;237.030;5.800;0.000;0.000;18.000
19/11/2010;13:53:00;1.316;0.076;237.070;5.600;0.000;0.000;17.000
19/11/2010;13:54:00;1.278;0.076;236.930;5.400;0.000;0.000;17.000
19/11/2010;13:55:00;1.366;0.074;237.690;5.800;0.000;0.000;17.000
19/11/2010;13:56:00;1.312;0.074;237.770;5.400;0.000;0.000;18.000
19/11/2010;13:57:00;1.258;0.074;237.620;5.200;0.000;0.000;17.000
19/11/2010;13:58:00;1.272;0.070;239.270;5.200;0.000;0.000;18.000
19/11/2010;13:59:00;1.272;0.072;239.310;5.200;0.000;0.000;17.000
19/11/2010;14:00:00;1.286;0.068;240.660;5.200;0.000;0.000;18.000
19/11/2010;14:01:00;1.276;0.070;239.660;5.200;0.000;0.000;18.000
19/11/2010;14:02:00;1.278;0.070;239.880;5.200;0.000;0.000;17.000
19/11/2010;14:03:00;1.284;0.068;239.850;5.200;0.000;0.000;18.000
19/11/2010;14:04:00;1.370;0.066;241.610;5.600;0.000;0.000;18.000
19/11/2010;14:05:00;1.422;0.068;240.060;6.000;0.000;0.000;17.000
19/11/2010;14:06:00;1.374;0.070;238.760;5.800;0.000;0.000;18.000
19/11/2010;14:07:00;1.350;0.078;236.100;5.600;0.000;0.000;17.000
19/11/2010;14:08:00;1.996;0.380;235.230;9.200;0.000;0.000;17.000
19/11/2010;14:09:00;2.354;0.590;234.910;10.600;0.000;0.000;17.000
19/11/2010;14:10:00;2.354;0.594;234.740;10.600;0.000;0.000;17.000
19/11/2010;14:11:00;2.516;0.762;236.200;11.400;0.000;0.000;17.000
19/11/2010;14:12:00;2.528;0.808;236.040;11.400;0.000;0.000;17.000
19/11/2010;14:13:00;2.502;0.802;234.970;11.400;0.000;0.000;17.000
19/11/2010;14:14:00;1.912;0.444;236.700;8.800;0.000;0.000;17.000
19/11/2010;14:15:00;1.430;0.154;237.670;6.000;0.000;0.000;18.000
19/11/2010;14:16:00;1.864;0.424;235.550;8.600;0.000;0.000;17.000
19/11/2010;14:17:00;1.992;0.500;235.050;9.200;0.000;0.000;17.000
19/11/2010;14:18:00;2.492;0.802;234.240;11.400;0.000;0.000;17.000
19/11/2010;14:19:00;2.476;0.772;234.800;11.200;0.000;0.000;16.000
19/11/2010;14:20:00;2.018;0.452;236.400;9.200;0.000;0.000;18.000
19/11/2010;14:21:00;1.340;0.050;236.370;5.600;0.000;0.000;17.000
19/11/2010;14:22:00;1.440;0.048;236.160;6.000;0.000;0.000;17.000
19/11/2010;14:23:00;1.432;0.046;235.410;6.000;0.000;0.000;17.000
19/11/2010;14:24:00;1.446;0.000;236.010;6.200;0.000;0.000;17.000
19/11/2010;14:25:00;1.338;0.074;237.010;5.600;0.000;0.000;17.000
19/11/2010;14:26:00;1.350;0.074;237.950;5.600;0.000;0.000;18.000
